BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Agribisnis Ikan Hias,,,,,,
,,,,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ruang Laboratorium Hama dan Penyakit Ikan,3 m²/peserta didik,9 siswa,,,,,
2,Bangsal/Kolam Induk Jantan dan Induk Betina,3 m²/peserta didik,9 siswa,,,,,
3,"Kolam Pemijahan, Penanganan Larva, Pembuatan Pakan Alami",3 m²/peserta didik,9 siswa,,,,,
4,"Kolam Pendederan (1), Pendederan (2), Kolam/Bak Pembesaran, Akuarium, Fiber, dan Kolam Produksi",3 m²/peserta didik,9 siswa,,,,,
5,Sub Ruang Instruktur dan Ruang Simpan,3 m²/instruktur,9 instruktur,,,,,
2. PERABOT DAN PERALATAN LABORATORIUM HAMA DAN PENYAKIT IKAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Kursi Kerja,"L480 x W420 x H850 mm, seat foam laminated with oscar, nylon support, powder coating",18 unit,,,,,
2,Meja Kerja,"L1400 x W700 x H730 mm, sheet metal 0.6-1.2 mm, MDF 25 mm, powder coating",19 unit,,,,,
3,Mikroskop,Untuk melihat bentuk/bakteri/hama,6 unit,,,,,
4,BOD Incubator,"Kapasitas min. 80L, range suhu 0-60°C, AC 220V/50Hz",1 unit,,,,,
5,COD Analyzer,Range COD 5-2000 mg/L,1 unit,,,,,
6,Papan Tulis Dorong,"150 x 75 x 80 cm, dapat dipindah",1 unit,,,,,
7,Meja Persiapan,"1200 x 600 x 750 mm, particle board",2 unit,,,,,
3. PERALATAN BANGSAL/KOLAM INDUK JANTAN DAN INDUK BETINA,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Bak Fiberglass Resegi,"Ukuran: 100 cm, 1000 cm, 1100 cm",7 unit,,,,,
2,Papan Tulis Dorong,150 x 75 x 80 cm,1 unit,,,,,
3,Meja Persiapan,1200 x 600 x 750 mm,2 unit,,,,,
"4. PERALATAN KOLAM PEMIJAHAN, PENANGANAN LARVA DAN PEMBUATAN PAKAN ALAMI",,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Bak Fiberglass Bulat,"Untuk kultur pakan alami, ada outlet pembuangan",3 unit,,,,,
2,Seser/Grab,Untuk penangkapan/penyiponan,3 unit,,,,,
3,Aquarium Penetasan,"Ukuran min 15x15 cm, bahan stainless",7 unit,,,,,
4,Pompa Udara/Blower/Aerator,Untuk memasok udara ke kolam,1 unit,,,,,
5,Lampu Metal Halide,"Untuk fotosintesis, aquarium laut",4 unit,,,,,
6,Aquarium Dekorasi,"Kaca, panjang min 1,5m, tinggi min 1,5m, tebal min 12mm",3 unit,,,,,
7,Papan Tulis Dorong,150 x 75 x 80 cm,1 unit,,,,,
8,Meja Persiapan,1200 x 600 x 750 mm,2 unit,,,,,
"5. PERALATAN KOLAM PENDEDERAN, PEMBESARAN, AKUARIUM, FIBER DAN KOLAM PRODUKSI",,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Mesin Penepung Disk Mill,"Penggerak motor diesel 5,5 HP, kecepatan 9000 rpm",1 unit,,,,,
2,Oven,"Range suhu room temp - 300°C, kapasitas min 1/4 m³",1 unit,,,,,
3,Water Pump,Mesin pemompa air,1 unit,,,,,
4,Bak Fiberglass,Wadah pembesaran,6 unit,,,,,
5,Aquarium,Wadah penetasan telur,6 unit,,,,,
6,Pond Blower Filter + Pompa Air,"Kapasitas min 8000 liter, volume filter 1000L",1 unit,,,,,
7,Tabung Oksigen,"Untuk packing, tinggi min 2,5M",2 unit,,,,,
8,Tabung CO₂,"Untuk aquascape, min 1m², lengkap regulator",3 unit,,,,,
9,Chiller,"Power min 1HP, output min 1000L/jam, volt 220v",3 unit,,,,,
10,Aquarium Dekorasi,"Kaca, panjang min 1,5m, tinggi min 1,5m, tebal min 12mm",6 unit,,,,,
11,Kursi Kerja,L480 x W420 x H850 mm,18 unit,,,,,
12,Meja Kerja,L1400 x W700 x H730 mm,19 unit,,,,,
6. PERABOT DAN PERALATAN RUANG INSTRUKTUR DAN PENYIMPANAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Kursi Kerja,"Ergonomis, dudukan busa injection",9 unit,,,,,
2,Meja Kerja,Ukuran memadai,9 unit,,,,,
3,Lemari Simpan,"Knock down system, 1000 x 400 x 1850 mm",2 unit,,,,,
4,Refraktometer,Untuk mengukur kadar gula/garam,6 unit,,,,,
5,Timbangan Digital,"Ketelitian 0,1 g",6 unit,,,,,
6,Lux Meter,Pengujian kualitas air,6 unit,,,,,
7,Water Quality Meter,Untuk mengukur pH/ORP/Conductivity/DO,6 unit,,,,,
8,Turbidity Meter,"Ukur kekeruhan, range 0-200 NTU",6 unit,,,,,
9,Water Hardness Test,Pengujian kesadahan air,6 unit,,,,,
10,Water Color Test,Pengujian warna air,6 unit,,,,,
11,BOD Meter,"Mengukur oksigen terlarut, range 5-4000 mg/L",6 unit,,,,,
7. KELENGKAPAN SMART CLASSROOM,,,,,,,,
No,Nama Peralatan,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,,
1,Smart Board / Whiteboard Interaktif,1 unit,,,,,,
2,Smart TV Videoconference,1 unit,,,,,,
3,HD Pro Cam / Live Casting,1 unit,,,,,,
4,Smart Table Interaktif,1 unit,,,,,,
5,Smart Controlroom Console,1 unit,,,,,,
6,Smart Document Camera,1 unit,,,,,,
7,"Platform Pendukung (Student Response System, digital learning content, mobile learning)",1 paket,,,,,,
8. KELENGKAPAN KESELAMATAN DAN KESEHATAN KERJA (K3),,,,,,,,
No,Komponen,Standar Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,APAR (Alat Pemadam Api Ringan),"Tersedia, terisi, dan berkala uji",4 unit,,,,,
2,Hydrant Box dan Alarm,"Berfungsi, mudah diakses",1 set,,,,,
3,Smoke Detector,"Terpasang di area rawan, berfungsi",4 unit,,,,,
4,Sprinkler,Terpasang sesuai ketentuan,1 set,,,,,
5,P3K Kit,Isi lengkap dan tidak kadaluarsa,2 unit,,,,,
6,"APD (masker, sarung tangan, safety shoes, jas laboratorium, dll.)",Tersedia dan sesuai standar,18 set,,,,,
7,Jalur Evakuasi dan Titik Kumpul,Ada rambu yang jelas dan mudah dilihat,1 set,,,,,
8,Rambu K3 dan Poster Keselamatan,Terpasang di area strategis,10 buah,,,,,
9,Fasilitas Cuci Tangan (CTPS),Dengan air mengalir dan sabun,2 unit,,,,,
10,Prosedur Kesehatan (Covid-19),Poster protokol kesehatan terpasang,5 buah,,,,,
9. KELENGKAPAN UTILITAS DAN BANGUNAN,,,,,,,,
No,Komponen,Standar Minimal,Sesuai Standar Minimal,Tidak Sesuai Standar Minimal,Keterangan,Tidak Ada,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Jaringan Internet,Tersedia dan dapat diakses,,,,,,
2,Pencahayaan Alami dan Buatan ,Minimal 250 lux (SNI 03-6197-2000),,,,,,
3,Ventilasi Udara ,Sirkulasi udara baik (SNI 03-6572-2001),,,,,,
4,Toilet Terpisah Pria/Wanita,Minimal 1 pria + 1 wanita,,,,,,
5,Sumber Air Bersih,Tersedia dan mengalir lancar,,,,,,
6,Instalasi Listrik yang Aman ,Sesuai PUIL 2011 (SNI 0225:2011),,,,,,
7,Stop Kontak 1 Phase,Jarak masing-masing 3 m,,,,,,
8,Sistem Penangkal Petir,"SNI 03-7015-2004, grounding ≤5 Ohm",,,,,,
10. PENERAPAN BUDAYA KERJA INDUSTRI,,,,,,,,
No,Komponen,"Ada, Efektif","Ada, Tidak Efektif",Tidak Ada,Keterangan,,,
1,"Penerapan 5R (Ringkas, Rapi, Resik, Rawat, Rajin)",,,,,,,
2,Poster/Infografis 5S/5R terpasang,,,,,,,
3,Penerapan Budaya Safety/K3 (C.A.N.T.I.K./T.A.M.P.A.N.),,,,,,,
4,Poster/Infografis K3 terpasang,,,,,,,
5,SOP Penggunaan Peralatan tersedia,,,,,,,
6,Jadwal Pemeliharaan Peralatan tersedia,,,,,,,
7,Buku Log Penggunaan Ruang Praktik,,,,,,,
8,Prosedur Masuk Ruang (Protokol Kesehatan) terpasang,,,,,,,
