BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,:  Agribisnis Perikanan Air Payau dan Laut,,,,,,
,,,,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ruang Laboratorium Hama dan Penyakit Ikan,3 m²/peserta didik,9 siswa,,,,,
2,Bangsal/Kolam Induk Jantan dan Kolam Induk Betina,3 m²/peserta didik,9 siswa,,,,,
3,"Kolam Pemijahan, Penanganan Larva, Pembuatan Pakan Alami, dan Gudang Penyimpanan Pakan Buatan",3 m²/peserta didik,9 siswa,,,,,
4,"Kolam Pendederan 1, Pendederan 2, Pendederan 3, dan Kolam Produksi",3 m²/peserta didik,9 siswa,,,,,
5,Sub Ruang Instruktur dan Ruang Simpan,3 m²/instruktur,9 instruktur,,,,,
2. PERABOT DAN PERALATAN LABORATORIUM HAMA DAN PENYAKIT IKAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Mikroskop,Untuk melihat bentuk bakteri/hama,2 unit,,,,,
2,Refraktometer,"Untuk mengukur kadar gula/garam, Brix 0-35%",2 unit,,,,,
3,Timbangan Digital,"Kapasitas 1000 g, ketelitian 0,1 g",1 unit,,,,,
4,Lux Meter,Untuk mengukur intensitas cahaya,2 unit,,,,,
5,Portable pH/ORP/Conductivity/DO Meter,Multi-parameter uji kualitas air,2 unit,,,,,
6,Turbidity Meter,"Ukur kekeruhan air, range 0-200 NTU",2 unit,,,,,
7,Water Hardness Tester,Menguji tingkat kesadahan air,2 unit,,,,,
8,Ekman Grab,Untuk pengambilan sampel benthos,1 unit,,,,,
9,Centrifuge,"Max RCF 20.913, dengan rotor",2 unit,,,,,
10,Kotak Pendingin,Kapasitas min. 30 liter,3 unit,,,,,
11,Tangguk Ikan,Untuk menangkap ikan,3 unit,,,,,
12,Alat Pengukur Panjang Ikan,"Bahan HDPE, skala 1 mm, panjang 60-75 cm",9 unit,,,,,
13,Freezer,"Kapasitas 4 rak, volume 121 liter",1 unit,,,,,
14,Heater Aquarium,"Untuk memanaskan air, dilengkapi termostat",1 unit,,,,,
15,Thermometer,"Digital, rentang -10°C s.d. 50°C",3 unit,,,,,
16,Secchi Disc,"Untuk mengukur kecerahan air, diameter 20 cm",3 unit,,,,,
17,Depth Sounder,Untuk mengetahui kedalaman air,1 unit,,,,,
18,Spectrophotometer,Wavelength range 200-1000 nm,1 unit,,,,,
19,Shrimp/Fish Test Kit,Untuk deteksi virus udang/ikan,3 unit,,,,,
20,Pisau Bedah,"Untuk bedah ikan, bahan stainless steel",3 unit,,,,,
21,Gunting Bedah,"Lurus, ujung tumpul, 14 cm, stainless steel",9 unit,,,,,
22,Gelas Ukur,Berbagai ukuran,3 unit,,,,,
23,Pipet Ukur,"1 ml, 5 ml, 10 ml, 25 ml",3 set,,,,,
24,Plankton Net,"Diameter bukaan 30 cm, tinggi 100 cm, mesh size 200",3 unit,,,,,
