BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Agribisnis Perikanan Air Tawar,,,,,,
,,,,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ruang Laboratorium Hama dan Penyakit Ikan,3 m²/peserta didik,9 siswa,,,,,
2,Bangsal/Kolam Induk Jantan dan Kolam Induk Betina,3 m²/peserta didik,9 siswa,,,,,
3,"Kolam Pemijahan, Penanganan Larva dan Pembuatan Pakan Alami, Pakan Buatan (Pellet) dan Penyimpanan (Gudang) Pakan Buatan",3 m²/peserta didik,9 siswa,,,,,
4,"Kolam Pendederan 1, Pendederan 2, Pendederan 3, dan Kolam Pembesaran Ikan/Kolam Produksi",3 m²/peserta didik,9 siswa,,,,,
5,Kolam Produksi,30 m²/peserta,36 siswa,,,,,
6,Sub Ruang Instruktur dan Ruang Simpan,3 m²/instruktur,9 instruktur,,,,,
2. PERABOT DAN PERALATAN LABORATORIUM HAMA DAN PENYAKIT,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Mikroskop,Untuk melihat bentuk bakteri/hama,2 unit,,,,,
2,Ekman Grab,Untuk pengambilan sampel benthos,3 unit,,,,,
3,Refraktometer,Untuk mengukur kadar gula/garam,2 unit,,,,,
4,Timbangan Digital,"Kapasitas 1000 g, ketelitian 0,1 g",2 unit,,,,,
5,Portable pH/ORP/Conductivity/DO Meter,Multi-parameter uji kualitas air,2 unit,,,,,
6,Turbidity Meter,"Ukur kekeruhan air, range 0-200 NTU",2 unit,,,,,
7,Water Hardness Tester,Menguji tingkat kesadahan air,2 unit,,,,,
8,BOD Meter,Mengukur oksigen terlarut,3 unit,,,,,
9,BOD Incubator,"Kapasitas min 80L, range suhu 0-60°C",1 unit,,,,,
10,COD Analyzer,Untuk pengujian COD,1 unit,,,,,
11,Centrifuge,"Max RCF 20.913, dengan rotor",3 unit,,,,,
12,Alat Pengukur Panjang Ikan,"Bahan HDPE, skala 1 mm, panjang 60-75 cm",9 unit,,,,,
13,Lemari ES,Untuk menyimpan bahan/obat suhu rendah,1 unit,,,,,
14,Sedgewick-Rafter Counting Cell,Alat hitung jumlah plankton,6 unit,,,,,
15,Pisau Bedah,"Alat bedah ikan, stainless steel",3 unit,,,,,
16,Gunting Bedah,"Lurus, ujung tumpul, 14 cm",18 unit,,,,,
17,Gelas Ukur,"1 set gelas laboratorium, borosilicate",6 unit,,,,,
18,Pipet Ukur,"1 ml, 5 ml, 10 ml, 25 ml, kaca standar",6 unit,,,,,
19,Plankton Net,"Diameter bukaan 30 cm, tinggi 100 cm, mesh size 200",3 unit,,,,,
20,Kursi Kerja,"L480 x W420 x H850 mm, seat foam laminated",19 unit,,,,,
21,Meja Kerja,"L1400 x W700 x H730 mm, sheet metal, MDF 25 mm",19 unit,,,,,
3. PERALATAN LABORATORIUM PAKAN BUATAN,,,,,,,,
