BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Agribisnis Rumput Laut,,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ruang Laboratorium Kultur Jaringan,3 m²/peserta didik,9 siswa,,,,,
2,Ruang Laboratorium Hama dan Penyakit,3 m²/peserta didik,9 siswa,,,,,
3,Indoor Culture,3 m²/peserta didik,9 siswa,,,,,
4,Ruang Pasca Panen,3 m²/peserta didik,9 siswa,,,,,
5,Sub Ruang Instruktur dan Ruang Simpan,3 m²/instruktur,9 instruktur,,,,,
2. PERABOT DAN PERALATAN LABORATORIUM KULTUR JARINGAN ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Mesin Pencuci Rumput Laut,"Tipe rotary, kapasitas 200 kg/proses, material stainless steel, penggerak mesin diesel 40 Hp",1 unit,,,,,
2,Kursi Kerja,"Dimensi min. L480 x W420 x H850 mm, seat foam laminated with oscar, nylon support, powder coating",9 unit,,,,,
3,Meja Kerja,"Ukuran memadai, sistem knock down yang mudah dirakit",9 unit,,,,,
4,Mesin Peniris Rumput Laut,Untuk meniriskan air setelah pencucian,1 unit,,,,,
3. PERABOT DAN PERALATAN LABORATORIUM HAMA DAN PENYAKIT ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Mesin Pencuci Rumput Laut,"Tipe rotary, kapasitas 200 kg/proses, material stainless steel",1 unit,,,,,
2,Kursi Kerja,"Ergonomis, bahan berkualitas",9 unit,,,,,
3,Meja Kerja,"Ukuran memadai, sistem knock down",9 unit,,,,,
4. PERALATAN INDOOR CULTURE ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Long Line Kit,Untuk tempat pertumbuhan rumput laut,2 unit,,,,,
2,Tali Pengikat Nilon,"Panjang ± 100 meter, untuk transportasi/penanaman",2 unit,,,,,
5. PERALATAN RUANG PASCA PANEN ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Mesin Penepung Rumput Laut,"Kapasitas min. 500 kg/jam, material stainless steel, mild steel, ukuran mesin 40-60",1 unit,,,,,
2,Mesin Pengayak Rumput Laut,"Tipe meja getar, kapasitas kontinyu min 500 kg input/jam, material stainless steel, kerangka mild steel, penggerak motor listrik 1 PK",1 unit,,,,,
3,Mesin Pengering Rumput Laut,"Kapasitas ± 250 kg/proses, bahan bakar minyak tanah",1 unit,,,,,
4,Mesin Perajang Rumput Laut,Untuk merajang rumput laut menjadi potongan kecil (chips),1 unit,,,,,
5,Pres Bal/Hidrolik,"Panjang stroke ± 1250 mm, diameter stroke ± 50 mm, motor 7.5 HP, rangka vertikal & horizontal ± 150 mm",1 unit,,,,,
6. PERABOT DAN PERALATAN RUANG INSTRUKTUR DAN PENYIMPANAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Kursi Kerja,"Ergonomis, bahan berkualitas",9 unit,,,,,
2,Meja Kerja,Ukuran memadai untuk bekerja,9 unit,,,,,
