BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,":  Pengembangan Gim                                           
",,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/Sebagian),Keterangan
1,Ruang Pengembangan Gim (Game Development Studio),3 m²/peserta didik,18 siswa,,,,,
2,Area Kerja Desain Grafis dan Animasi 2D/3D,3 m²/peserta didik,9 siswa,,,,,
3,Ruang Uji Coba/Playtesting,3 m²/peserta didik,9 siswa,,,,,
4,Ruang Produksi Audio & Sound Effect,3 m²/peserta didik,6 siswa,,,,,
5,Sub Ruang Instruktur dan Ruang Simpan,3 m²/instruktur,9 instruktur,,,,,
,,,,,,,,
2. PERABOT DAN PERALATAN RUANG PENGEMBANGAN GIM,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/Sebagian),Keterangan,
1,Workstation/PC Game Development,"Processor minimal Intel Core i7/AMD Ryzen 7, RAM 32 GB, GPU Dedicated (NVIDIA RTX 3060 atau setara), SSD 1 TB",18 unit,,,,,
2,Monitor Grafis,"Monitor 24-27 inch, resolusi 4K atau 2K, color accuracy tinggi (100% sRGB)",18 unit,,,,,
3,Laptop Developer (Mobile Game Testing),"Processor i7, RAM 16 GB, GPU dedicated, untuk testing game mobile",6 unit,,,,,
4,Graphics Tablet,"Active area minimal 10"" x 6"", pressure sensitivity 8192 levels, stylus battery-free",9 unit,,,,,
5,Meja Kerja Ergonomis,"120 x 70 x 75 cm, adjustable height, dengan cable management",18 unit,,,,,
6,Kursi Ergonomis,"Adjustable height, lumbar support, armrest, bahan breathable",18 unit,,,,,
7,Server Penyimpanan/Storage,"NAS dengan kapasitas minimal 16 TB, RAID support",1 unit,,,,,
8,UPS,"Minimal 1200 VA, pure sine wave",18 unit,,,,,
9,Proyektor/LED TV,"4K UHD, minimal 65 inch, untuk presentasi dan review game",1 unit,,,,,
10,Sound System,2.1 channel atau soundbar dengan subwoofer,1 set,,,,,
,,,,,,,,
3. PERANGKAT LUNAK (SOFTWARE) PENGEMBANGAN GIM,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Lisensi/Trial),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/Sebagian),Keterangan,
1,Game Engine (Unity),"Unity Pro atau equivalent, lisensi pendidikan",18 lisensi,,,,,
2,Game Engine (Unreal Engine),Unreal Engine dengan akses full features,18 lisensi,,,,,
3,Software Desain 2D (Adobe Photoshop/Illustrator),Lisensi or setara (GIMP/Krita untuk open source),18 lisensi,,,,,
4,Software Desain 3D (Blender/Autodesk Maya/3DS Max),Lisensi pendidikan atau open source,18 lisensi,,,,,
5,Software Animasi (Spine/Adobe Animate),Untuk animasi 2D karakter,9 lisensi,,,,,
6,Software Pemodelan 3D (ZBrush),Untuk sculpting karakter 3D,6 lisensi,,,,,
7,Software Audio (Audacity/Adobe Audition),Untuk editing suara dan musik,9 lisensi,,,,,
8,Integrated Development Environment (Visual Studio),Untuk scripting dan programming,18 lisensi,,,,,
9,Version Control (Git/GitHub Desktop),Untuk kolaborasi tim,18 lisensi,,,,,
10,Project Management (Trello/Jira),Untuk manajemen proyek game,1 paket,,,,,
,,,,,,,,
4. PERALATAN AREA KERJA DESAIN GRAFIS DAN ANIMASI 2D/3D,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/Sebagian),Keterangan,
1,Workstation Desain Grafis,"Processor i7, RAM 32 GB, GPU RTX 3060, SSD 512 GB",9 unit,,,,,
2,Graphics Tablet (Professional),"Wacom Intuos Pro atau setara, area kerja besar",9 unit,,,,,
3,Monitor Calibrator,Untuk kalibrasi warna monitor (Spyder atau setara),2 unit,,,,,
4,Lightbox,Untuk tracing dan animasi tradisional,6 unit,,,,,
5,Scanner,Resolusi tinggi untuk scan sketsa/drawing,1 unit,,,,,
,,,,,,,,
5. PERALATAN RUANG UJI COBA/PLAYTESTING,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/Sebagian),Keterangan,
1,Smartphone/Tablet (Berbagai OS),"Android & iOS, berbagai ukuran layar dan spesifikasi",10 unit,,,,,
2,Console Game (PlayStation/Xbox/Nintendo Switch),Untuk testing porting game ke konsol,3 unit,,,,,
3,VR Headset,Oculus Quest/Meta Quest atau HTC Vive,4 unit,,,,,
4,Game Controller/Joystick,Berbagai tipe (Xbox/PlayStation controller),10 unit,,,,,
5,Capture Card,Untuk merekam gameplay dari konsol/HP,2 unit,,,,,
