BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Nautika Kapal Penangkap Ikan,,,,,,
1. RUANG PRAKTIK UTAMA ,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Sub Ruang Menjangka Peta,3 m²/peserta didik,9 siswa,,,,,
2,Sub Ruang Komunikasi dan MERSAR,3 m²/peserta didik,9 siswa,,,,,
3,Sub Ruang Navigasi dan Kecakapan Bahari,3 m²/peserta didik,9 siswa,,,,,
4,Bangsal Kerja Alat Tangkap dan Tali-temali,3 m²/peserta didik,9 siswa,,,,,
5,Kapal Latih,1 unit (panjang 24 m),-,,,,,
6,Sub Ruang Instruktur dan Penyimpanan,3 m²/instruktur,9 instruktur,,,,,
2. PERALATAN SHIP SIMULATOR ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ship Bridge Simulator,"DNV Class B, 7x55"" UHD/4K, 225° view, lengkap dengan RADAR, ECDIS, GMDSS, Konsole Kemudi.",1 set,,,,,
3. PERALATAN SATU UNIT KAPAL DAN MINIATUR (Mengacu pada Tabel 9),,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,"Alat Tangkap Ikan (Gill net, Payang, Rawai, Pole and line)",Miniatur atau alat operasional sesuai klasifikasi FAO.,3 set,,,,,
2,Model Stabilitas Kapal,*Cut-away 3D models* atau floating model yang menunjukkan struktur dan pergerakan titik gravitasi.,3 set,,,,,
4. PERALATAN SUB RUANG MENJANGKA PETA ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Meja Menjangka Peta,-,18 buah,,,,,
2,Tabel Alit-tude dan Azimuth,-,18 buah,,,,,
3,Peta Laut,"Kertas, berbagai nomor peta",18 lembar,,,,,
