BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,":  Teknik Komputer dan Jaringan                                                
",,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Area Kerja Mekanik Teknik Elektro,3 m²/peserta didik,9 siswa,,,,,
2,Ruang Praktik Instalasi Jaringan,3 m²/peserta didik,18 siswa,,,,,
3,Ruang Perbaikan dan Perawatan Komputer,3 m²/peserta didik,9 siswa,,,,,
4,Ruang Instruktur dan Ruang Simpan,3 m²/instruktur,9 instruktur,,,,,
2. PERALATAN SUB AREA KERJA MEKANIK TEKNIK ELEKTRO,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Obeng Kembang,"Untuk membuka sekrup dengan mata obeng berbentuk kembang/plus, ukuran PH 0-2 x 75 mm, material chrome vanadium",18 unit,,,,,
2,Obeng Pilih,"Untuk membuka sekrup dengan mata obeng pipih/minus, ukuran 6 x 150 mm, material chrome vanadium",18 unit,,,,,
3,Kabel LAN Tester,"Untuk memeriksa konektivitas kabel LAN, dapat menguji kabel UTP, STP, BNC",9 unit,,,,,
4,Tang Crimping,Untuk pemasangan konektor RJ45 ke kabel UTP,9 unit,,,,,
3. PERALATAN SUB AREA KERJA MEKANIK TEKNIK ELEKTRO ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,MCU Training Set,"Power output: 5V/1A DC voltage source, 12V/1A DC voltage source, 5V/3A DC voltage source, dilengkapi workbench, power supply, signal generator",4 set,,,,,
2,Digital Trainer Board Microcontroller,"Untuk pembelajaran mikrokontroler Atmega16, dilengkapi safety universal relais board, transfersystem 24V DC",4 set,,,,,
3,Aplikasi Software Pengendali Mikrokontroler,Software untuk simulasi dan pengendali mikrokontroler,4 paket,,,,,
4,Tool Set,Kit peralatan untuk instalasi dan perawatan komputer,4 set,,,,,
4. PERALATAN SUB RUANG PRAKTIK INSTALASI JARINGAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Access Point Indoor,"Connectivity: 802.11 n/g/b wireless, Operating Modes: Access Point (AP), WDS with AP, WDS/Bridge, Wireless Client, VLAN/SSID Support",4 unit,,,,,
2,Access Point Outdoor,Untuk menghubungkan antar PC dengan gelombang radio jarak jauh,4 unit,,,,,
3,Fiber Optic Cable,Kabel fiber optik single mode/multimode,4 unit,,,,,
4,Cleaver dan Stripper,"Untuk mengupas kabel optik dan memotong core, diameter fiber 125μm, cladding diameter 0.125 mm",4 unit,,,,,
5,Optical Fusion Splicer,"Untuk penyambungan kabel fiber optik, automatic/manual operation, display 5.1"" color TFT",4 unit,,,,,
6,Optical Power Meter (OPM),"Untuk mengukur kekuatan sinyal optik, wavelength 800-1700nm, detector InGaAs, measurement range -70 s.d. +6 dBm",4 unit,,,,,
7,Optical Time Domain Reflectometer (OTDR),"Untuk mengukur parameter sinyal optik (attenuation, panjang kabel, loss), dead zone 0.8m, auto/manual test",4 unit,,,,,
8,Fluke Tester,"Untuk mengecek kondisi kabel jaringan, media access 1000BASE-T (IEEE 802.3af)",4 unit,,,,,
9,Router,"Antarmuka 5 x 10/100/1000 (1 WAN dan 4 LAN), processor 1.7GHz, RAM 512 MB",4 unit,,,,,
10,Switch Manageable,"Layer 3 switching, VLAN support",4 unit,,,,,
11,PC Server,"Processor minimal 3.0 GHz, RAM 8 GB, HDD 1 TB",4 unit,,,,,
12,Server Rack 19 inch,"Untuk menyimpan server, dilengkapi PDU outlet",1 unit,,,,,
13,Komputer Client,"Resolusi minimal 1920 x 1080, Optical USB Mouse, USB Keyboard",4 unit,,,,,
5. PERALATAN SUB RUANG PERBAIKAN DAN PERAWATAN KOMPUTER,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Obeng Kembang,Untuk membuka sekrup,18 unit,,,,,
2,Kabel LAN Tester,Untuk memeriksa konektivitas kabel LAN,9 unit,,,,,
3,Tang Crimping,Untuk pemasangan konektor RJ45,9 unit,,,,,
4,Fiber Optic Cable,Kabel fiber optik untuk praktik,4 unit,,,,,
5,Cleaver dan Stripper,Untuk mengupas kabel optik,4 unit,,,,,
6,Optical Fusion Splicer,Untuk penyambungan kabel fiber optik,4 unit,,,,,
