BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,":  Sistem Informatika, Jaringan dan Aplikasi",,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Area Kerja Mekanik Teknik Elektro,3 m²/peserta didik,9 siswa,,,,,
2,Sub Ruang Praktik Instalasi Jaringan,3 m²/peserta didik,9 siswa,,,,,
3,Sub Ruang Perbaikan dan Perawatan Komputer,3 m²/peserta didik,9 siswa,,,,,
4,Sub Ruang Praktik Pengembangan Aplikasi,3 m²/peserta didik,9 siswa,,,,,
5,Sub Ruang Instruktur dan Ruang Simpan,3 m²/instruktur,9 instruktur,,,,,
2. PERALATAN SUB AREA KERJA MEKANIK TEKNIK ELEKTRO,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Obeng Kembang,Untuk membuka sekrup dengan mata obeng berbentuk kembang/plus,18 unit,,,,,
2,Obeng Pilih,Untuk membuka sekrup dengan mata obeng pipih/minus,18 unit,,,,,
3,Tang Kombinasi,Multi fungsi untuk teknik elektro,18 unit,,,,,
4,Kabel LAN Tester,Untuk memeriksa konektivitas kabel LAN,9 unit,,,,,
5,Tang Crimping,Untuk pemasangan konektor RJ45 ke kabel UTP,9 unit,,,,,
3. PERALATAN SUB RUANG PRAKTIK INSTALASI JARINGAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Access Point Indoor,"Connectivity: 802.11 n/g/b wireless, Operating Modes: Access Point (AP), WDS with AP, WDS/Bridge, Wireless Client, VLAN/SSID Support",9 unit,,,,,
2,Access Point Outdoor,Untuk menghubungkan antar PC dengan gelombang radio jarak jauh,9 unit,,,,,
3,Fiber Optic Cable,Kabel fiber optik untuk transmisi sinyal,18 unit,,,,,
4,Cleaver dan Stripper,"Untuk mengupas kabel optik dan memotong core, cladding diameter < 0.125 mm",4 unit,,,,,
5,Optical Fusion Splicer,Untuk penyambungan kabel fiber optik,4 unit,,,,,
6,Optical Power Meter (OPM),"Untuk mengukur kekuatan sinyal optik, applicable on single mode/multimode fibers",4 unit,,,,,
7,Optical Time Domain Reflectometer (OTDR),"Untuk mengukur parameter sinyal optik (attenuation, panjang kabel, loss), Auto/Manual test and analysis",4 unit,,,,,
8,PC Server,"Untuk aplikasi web server, mail server, video streaming, Processor min 3.6 GHz, RAM 8 GB, HDD 1 TB",4 unit,,,,,
9,PC Server (VoIP),"Untuk instalasi server VoIP, Processor min 3.3 GHz, RAM 8 GB, HDD 1 TB",4 unit,,,,,
10,Server Rack,"Untuk menyimpan server, min 2 unit PDU outlet",1 unit,,,,,
11,Komputer Client,"Resolusi min 1920 x 1080, Optical USB Mouse, USB Keyboard",4 unit,,,,,
12,VoIP Gateway,Untuk menghubungkan telepon PSTN dengan telepon IP,4 unit,,,,,
13,RFID Training Kit,"Support up to 15 IP proxy servers, support 24 analog phone set",6 unit,,,,,
14,Network Simulator,"Untuk menjalankan simulasi jaringan seperti kondisi nyata, mendukung simulasi switching Layer 2, simulasi jaringan berbasis kabel copper dan fiber optic, simulasi jaringan nirkabel",4 unit,,,,,
4. PERALATAN SUB RUANG PERBAIKAN DAN PERAWATAN KOMPUTER,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Obeng Kembang,Untuk membuka sekrup,18 unit,,,,,
2,Obeng Pilih,Untuk membuka sekrup,18 unit,,,,,
3,Kabel LAN Tester,Untuk memeriksa konektivitas kabel LAN,9 unit,,,,,
