BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Teknika Kapal Niaga,,,,,,
1. RUANG PRAKTIK UTAMA ,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Area Kerja Menjangka Peta,3 m²/peserta didik,9 siswa,,,,,
2,Ruang Praktik Komunikasi dan MERSAR,3 m²/peserta didik,9 siswa,,,,,
3,Ruang Kerja Navigasi (Simulator),3 m²/peserta didik,9 siswa,,,,,
4,Bangsal Kecakapan Bahari/Penanganan dan Pengaturan Muatan,3 m²/peserta didik,9 siswa,,,,,
5,Kapal Satu Unit (Kapal Latih),1 unit (panjang 24 m),9 siswa,,,,,
6,Ruang Instruktur dan Penyimpanan,3 m²/instruktur,9 instruktur,,,,,
2. PERALATAN AREA KERJA MENJANGKA PETA ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Meja Menjangka Peta,Untuk perencanaan pelayaran,1 unit,,,,,
2,Marine Nautical (Sextant),Untuk menentukan posisi kapal,1 unit,,,,,
3,Pre-computed Altitude and Azimuth Tables,Untuk perhitungan navigasi celestial,1 set,,,,,
4,Ocean Plotting Charts of Area Concerned,Peta laut area pelayaran,2 set,,,,,
3. PERALATAN RUANG KOMUNIKASI DAN MERSAR,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,CB Transceiver,"Frekuensi CB, untuk komunikasi jarak dekat",1 unit,,,,,
2,Radio Direction Finder,Untuk menentukan arah sinyal radio,1 unit,,,,,
3,VHF Transceiver,"25W, NMEA 0183, fitur DSC",1 unit,,,,,
4,MF/HF Marine Radio,Untuk komunikasi jarak jauh dan GMDSS,1 unit,,,,,
5,SART (Search and Rescue Transponder),"Frekuensi 9.2-9.5 GHz, floating",1 unit,,,,,
6,EPIRB,"Frekuensi 406 MHz, dengan GPS built-in",1 unit,,,,,
7,Weather Station,"Mengukur kecepatan angin, arah angin, suhu, kelembaban, tekanan udara",1 unit,,,,,
8,Satellite Communication Trainer,"Trainer komunikasi satelit lengkap dengan modul orbit, software, dan panduan",1 set,,,,,
4. PERALATAN RUANG KERJA NAVIGASI,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Marine Autopilot,Sistem kemudi otomatis terintegrasi dengan GPS dan Gyro,1 unit,,,,,
2,Marine Radar with AIS,"X-band, 4KW, LCD, dengan AIS terintegrasi",1 unit,,,,,
3,Marine Radar with ARPA,Dengan kemampuan target tracking otomatis (min. 20 target),1 unit,,,,,
4,Electronic Compass with GPS,"10.5-40VDC, NMEA0183, sensor 3-axis",1 unit,,,,,
5,GPS Plotter with Echo Sounder,"Layar minimal 7"", tracklog 8000 titik, dengan fish finder",1 unit,,,,,
6,Fish Finder,Untuk mendeteksi gerombolan ikan,1 unit,,,,,
7,Projection Magnetic Compass,Kompas magnetik proyeksi untuk menentukan arah,2 unit,,,,,
8,Gyro Compass,Sistem kompas gyro dengan koreksi otomatis,1 unit,,,,,
9,Navtex Receiver,Untuk menerima informasi navigasi dan cuaca (GMDSS),1 unit,,,,,
10,Binoculars,"7x50, untuk pengamatan benda di laut",18 unit,,,,,
5. PERALATAN RUANG BANGSAL KECAKAPAN BAHARI/PENANGANAN DAN PENGATURAN MUATAN ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Navtex Receiver,"Untuk kelengkapan GMDSS, frekuensi 518 kHz",1 unit,,,,,
2,Peralatan Penanganan Muatan,Model/peraga untuk simulasi pengaturan muatan kapal niaga,1 set,,,,,
3,Peralatan Keselamatan Kapal,"Life jacket, life buoy, dll.",1 set,,,,,
6. PERALATAN RUANG KAPAL SATU UNIT ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Kapal Latih,"Kapal ukuran panjang 24 m, untuk praktik kondisi pelayaran nyata",1 unit,,,,,
2,Cutaway 3D Models,Model struktur bangunan kapal (potongan) untuk pembelajaran konstruksi kapal,3 unit,,,,,
3,Floating Ship Stability Model,Model stabilitas kapal untuk demonstrasi pergerakan titik gravitasi dan efek permukaan bebas,3 unit,,,,,
4,Ship Bridge Simulator,"Sesuai sertifikasi DNV Class B, dengan visualisasi 225°, RADAR, ECDIS, GMDSS, konsole kemudi",1 unit,,,,,
7. PERABOTAN DAN PERALATAN RUANG INSTRUKTUR DAN PENYIMPANAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Kursi Kerja,"Ergonomis, dudukan busa injection",3 unit,,,,,
2,Meja Kerja,Ukuran memadai untuk bekerja nyaman,3 unit,,,,,
3,Lemari Simpan,"5 rak, metal coating, knock down",2 unit,,,,,
4,SART,"Sebagai kelengkapan GMDSS, TX Freq 9.2-9.5 GHz, 400mW",1 unit,,,,,
5,EPIRB,"Sebagai kelengkapan GMDSS, 406 MHz",1 unit,,,,,
8. KELENGKAPAN SMART CLASSROOM ,,,,,,,,
No,Nama Peralatan,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,,
1,Smart Board / Whiteboard Interaktif,1 unit,,,,,,
2,Smart TV Videoconference,1 unit,,,,,,
3,HD Pro Cam / Live Casting,1 unit,,,,,,
4,Smart Table Interaktif,1 unit,,,,,,
5,Smart Controlroom Console,1 unit,,,,,,
6,Smart Document Camera,1 unit,,,,,,
7,"Platform Pendukung (Student Response System, digital learning content, mobile learning)",1 paket,,,,,,
9. KELENGKAPAN KESELAMATAN DAN KESEHATAN KERJA (K3) DAN PROTOKOL KEADAAN DARURAT,,,,,,,,
No,Komponen,Standar Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,APAR (Alat Pemadam Api Ringan),"Tersedia, terisi, dan berkala uji",4 unit,,,,,
2,Hydrant Box dan Alarm,"Berfungsi, mudah diakses",1 set,,,,,
3,Smoke Detector,"Terpasang di area rawan, berfungsi",4 unit,,,,,
4,Sprinkler,Terpasang sesuai ketentuan,1 set,,,,,
5,P3K Kit,Isi lengkap dan tidak kadaluarsa,2 unit,,,,,
6,"APD (masker, sarung tangan, safety shoes, life jacket, dll.)",Tersedia dan sesuai standar,18 set,,,,,
7,Jalur Evakuasi dan Titik Kumpul,Ada rambu yang jelas dan mudah dilihat,1 set,,,,,
8,Rambu K3 dan Poster Keselamatan,Terpasang di area strategis,10 buah,,,,,
9,Fasilitas Cuci Tangan (CTPS),Dengan air mengalir dan sabun,2 unit,,,,,
10,Prosedur Kesehatan (Covid-19),Poster protokol kesehatan terpasang,5 buah,,,,,
10. KELENGKAPAN UTILITAS DAN BANGUNAN,,,,,,,,
No,Komponen,Standar Minimal,Sesuai Standar Minimal,Tidak Sesuai Standar Minimal,Keterangan,Tidak Ada,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Jaringan Internet,Tersedia dan dapat diakses,,,,,,
2,Pencahayaan Alami dan Buatan ,Minimal 250 lux (SNI 03-6197-2000),,,,,,
3,Ventilasi Udara ,Sirkulasi udara baik (SNI 03-6572-2001),,,,,,
4,Toilet Terpisah Pria/Wanita,Minimal 1 pria + 1 wanita,,,,,,
5,Sumber Air Bersih,Tersedia dan mengalir lancar,,,,,,
6,Instalasi Listrik yang Aman ,Sesuai PUIL 2011 (SNI 0225:2011),,,,,,
7,Stop Kontak 1 Phase,Jarak masing-masing 3 m,,,,,,
8,Sistem Penangkal Petir,"SNI 03-7015-2004, grounding ≤5 Ohm",,,,,,
11. PENERAPAN BUDAYA KERJA INDUSTRI ,,,,,,,,
No,Komponen,"Ada, Efektif","Ada, Tidak Efektif",Tidak Ada,Keterangan,,,
1,"Penerapan 5R 5R (Ringkas, Rapi, Resik, Rawat, Rajin) ",,,,,,,
2,Poster/Infografis 5S/5R terpasang,,,,,,,
3,Penerapan Budaya Safety/K3 (C.A.N.T.I.K./T.A.M.P.A.N.),,,,,,,
4,Poster/Infografis K3 terpasang,,,,,,,
5,SOP Penggunaan Peralatan tersedia,,,,,,,
6,Jadwal Pemeliharaan Peralatan tersedia,,,,,,,
7,Buku Log Penggunaan Ruang Praktik,,,,,,,
8,Prosedur Masuk Ruang (Protokol Kesehatan) terpasang,,,,,,,
