BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Teknika Kapal Penangkap Ikan,,,,,,
1. RUANG PRAKTIK UTAMA ,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Area Kerja Bangku/Bengkel,3 m²/peserta didik,9 siswa,,,,,
2,Ruang Lab. Dasar Elektro/Kelistrikan,3 m²/peserta didik,9 siswa,,,,,
3,Area Kerja Mesin Bantu Kapal,3 m²/peserta didik,9 siswa,,,,,
4,Bangsal Kerja Alat Tangkap dan Tali-temali,3 m²/peserta didik,9 siswa,,,,,
5,Area Kerja Mesin Utama Kapal,3 m²/peserta didik,9 siswa,,,,,
6,Area Kerja Mesin Pendingin/Refrigerasi,3 m²/peserta didik,9 siswa,,,,,
7,Sub Ruang Instruktur dan Penyimpanan,3 m²/instruktur,9 instruktur,,,,,
2. PERALATAN AREA KERJA BANGKU/BENGKEL,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Mesin Bubut Manual (Lathe Machine),Untuk pekerjaan bubut dasar,1 unit,,,,,
2,Pipe Thread Machine,"1/2"" - 2"", 750W, 220V/380V",1 unit,,,,,
3,Gerinda Listrik Tangan,"600W, 10.000 rpm, 100 mm",1 unit,,,,,
4,Mesin Gerinda Potong,Untuk memotong bahan baku,1 unit,,,,,
5,Digital Optical Measurement Profile Projector,X/Y travel 0-200 mm,1 unit,,,,,
6,Foot Shearing Machine,"Lebar 1300 mm, tebal 1.15 mm",1 unit,,,,,
7,Band Saw Machine,Untuk memotong bahan baku,1 unit,,,,,
8,Las Busur Manual (Arc Welding),-,1 unit,,,,,
9,Las Busur GAS (MIG/MAG),-,1 unit,,,,,
10,TIG Welding Machine (GTAW),-,1 unit,,,,,
11,Plasma Cutting Welding Machine,-,1 unit,,,,,
12,Electric Drill,"550W, 10mm (steel), 20mm (wood)",1 unit,,,,,
13,Impact Drill,"550W, 10mm (steel), 20mm (wood)",1 unit,,,,,
14,Multi-function Tools,"300W, 22.000 rpm",1 unit,,,,,
15,Drill Press,"350W, 13 mm, 2620 rpm",1 unit,,,,,
3. PERALATAN LABORATORIUM DASAR ELEKTRO/KELISTRIKAN ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Basic Electric Training System,"3 phase AC380V, modul eksperimen",1 unit,,,,,
2,Primary Electricity Training System,3 phase 380V,1 unit,,,,,
3,Basic Electronics Trainer,Single phase AC220V,1 unit,,,,,
4,MCU Trial Set,Mikrokontroler trainer,1 unit,,,,,
5,Motor & Transformer Maintenance,Trainer motor dan transformator,1 unit,,,,,
6,Analog Circuit Training Kit,Trainer rangkaian analog,1 unit,,,,,
7,Digital Circuit Training Kit,Trainer rangkaian digital,1 unit,,,,,
8,Programmable Logic Controller Training Set,Trainer PLC,1 unit,,,,,
9,Basic Electro Pneumatic Training System,Trainer elektro-pneumatik,1 unit,,,,,
10,Hydraulic Training System,Trainer hidrolik,1 unit,,,,,
11,Synchronous Generator,Untuk pengenalan generator,2 unit,,,,,
12,Box Panel Sinkronisasi (Syncroscope),Panel distribusi daya,1 unit,,,,,
4. PERALATAN AREA KERJA MESIN KAPAL DAN MESIN BANTU (Mengacu pada Tabel 10),,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ship Machinery Operation (Engine Room Simulator),"Simulasi ruang mesin, sistem propulsi, monitoring",1 unit,,,,,
2,Motor Diesel,Untuk pengenalan motor diesel,1 unit,,,,,
3,Motor Tempel/Motor Outboard,"18.4 kW (25 HP), 4-stroke",1 unit,,,,,
4,Sistem Propeller Kapal,Panjang 900-2000 mm,1 unit,,,,,
5,"Pompa (Pompa Sentrifugal, Pompa Gear)",Berbagai jenis pompa,1 set,,,,,
6,Power Block,Penarik jaring purse seine,1 unit,,,,,
7,Line Hauler/Rooler,Penarik long line,1 unit,,,,,
5. PERALATAN BANGSAL KERJA ALAT TANGKAP DAN TALI-TEMALI ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Fishing Gear (Alat Tangkap Ikan),"Mewakili klasifikasi FAO: Jaring lingkar, jaring insang, pancing, rawai, dll.",3 set,,,,,
6. PERALATAN SUB RUANG INSTRUKTUR DAN PENYIMPANAN ,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jml Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Dokumen Pendukung,Keterangan
1,Meja Kerja Instruktur,"900 x 450 mm, MFC",3 unit,,,,,
2,Kursi Kerja Instruktur,"Ergonomis, nyaman",3 unit,,,,,
3,Lemari Simpan,"5 rak, metal coating, knock down",2 unit,,,,,
4,Refraktometer,"Brix 0-53%, akurasi ±0.2%",2 unit,,,,,
5,Timbangan Digital,Ketelitian 0.1 gram,2 unit,,,,,
