BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Teknik Transmisi Telekomunikasi,,,,,,
1. RUANG PRAKTIK SISWA (RPS),,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ruang Praktik Utama (Area Kerja Bengkel dan Kelistrikan),3 m²/peserta didik,18 siswa,,,,,
2,"Ruang Praktik Utama (Area Kerja Transmisi Kabel Serat Optik, Satelit, dan Radio)",4 m²/peserta didik,18 siswa,,,,,
3,"Ruang Praktik Utama (Area Kerja Sistem Komputer, Elektronika, dan Mikroprosesor)",4 m²/peserta didik,18 siswa,,,,,
4,Area Kerja Lab Radio Outdoor dan Indoor,3 m²/peserta didik,18 siswa,,,,,
5,Ruang Instruktur dan Penyimpanan,6 m²/instruktur,3 instruktur,,,,,
2. PERALATAN AREA KERJA BENGKEL DAN KELISTRIKAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Mesin Gerinda Tangan,"Daya listrik sekitar 670W, ukuran batu gerinda 4"" (100mm), kecepatan tanpa beban sekitar 12.000 rpm.",6 Unit,,,,,
2,Mesin Bor Tangan,"Daya listrik sekitar 500W, kapasitas bor besi minimal 10 mm, kecepatan tanpa beban 0-3000 rpm.",2 Unit,,,,,
3,Gerinda Potong,"Daya sekitar 2000W, ukuran cakram sekitar 355mm, kecepatan tanpa beban sekitar 3800 rpm.",2 Unit,,,,,
4,Gerinda Sudut (Angle Grinder),"Daya 500-700 Watt, kecepatan 8.000-12.000 rpm, diameter roda 100-125mm.",2 Unit,,,,,
5,Bor Duduk (Bench Drill),"Daya 350-400 Watt, kecepatan 0-3000 rpm, ukuran chuck 16mm.",2 Unit,,,,,
6,Cut Off Saw,"Daya 1500-2000 Watt, kecepatan 3000-5000 rpm.",2 Unit,,,,,
7,Bench Grinder,"Daya motor 500-700 Watt, diameter roda 200mm.",3 Unit,,,,,
8,Ragum (Bench Vice),"Ukuran minimal 5 inci, tipe cross (2 arah).",18 Unit,,,,,
9,Obeng Set (Kembang dan Pilih),"Set obeng untuk sekrup plus (PH) dan minus (SL), dengan berbagai ukuran. Material chrome vanadium.",18 Unit,,,,(Isi set minimal terdiri dari obeng kembang dan pipih),
10,Tool Kit,"Set lengkap berisi kunci pas, kunci L, tang, obeng, palu, dan alat ukur.",3 Set,,,,,
"3. PERALATAN AREA KERJA TRANSMISI KABEL SERAT OPTIK, SATELIT, DAN RADIO",,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Optical Time Domain Reflectometer (OTDR),"Panjang gelombang 1310/1550 nm, rentang dinamis 38/37 dB, auto/manual test.",4 Unit,,,,,
2,Optical Power Meter (OPM),"Konektor universal (FC, SC, ST), daya tahan baterai hingga 240 jam.",4 Unit,,,,,
3,Optical Fusion Splicer,"Mendukung serat SM, MM, DS, NZD. Waktu penyambungan cepat (≤9 detik).",4 Unit,,,,,
4,Cleaver dan Stripper Fiber Optik,"Untuk mengupas dan memotong core serat optik, diameter fiber 125μm.",4 Unit,,,,,
5,Fiber Optic Cable,Kabel fiber optik single mode/multimode.,4 Unit,,,,,
6,Optical Network Unit (ONU),"GPON ONT, 1 port gigabit, 2.4G WiFi.",4 Unit,,,,,
7,OTB 12 Core,"Panel untuk terminasi kabel fiber optik, 12 core.",4 Unit,,,,,
8,Roset Fiber Optik,Kotak penghubung indoor optik ke CPE.,4 Unit,,,,,
9,Patch Cord Fiber Optic,"Type SC/DC-LC UPC, single mode duplex, panjang 3 meter.",4 Unit,,,,,
10,SC Adapter,"Untuk menghubungkan konektor serat optik, tipe SC-FC UPC.",4 Unit,,,,,
11,Pigtail Fiber Optik,Untuk terminasi kabel fiber optik.,4 Unit,,,,,
12,Access Point Outdoor,"Untuk menghubungkan antar perangkat dengan gelombang radio jarak jauh, tahan cuaca.",4 Unit,,,,,
13,Fluke Tester,Untuk menguji dan mendiagnosis jaringan kabel.,4 Unit,,,,,
14,Network Simulator,"Untuk mempelajari simulasi jaringan, dilengkapi berbagai modul protokol.",4 Unit,,,,,
15,Switch Manageable,"Layer 3 switching, mendukung konfigurasi VLAN, firewall, bandwidth limiter.",4 Unit,,,,,
16,Router,"Antarmuka 5 x 10/100/1000 (min. 1 WAN dan 4 LAN), processor ≥ 1.7GHz.",4 Unit,,,,,
17,Komputer Client,"Untuk praktik konfigurasi dan monitoring, resolusi minimal 1920 x 1080.",4 Unit,,,,,
18,Antenna Analyzer,Untuk mengukur impedansi antena dan pengujian RF.,3 Unit,,,,,
"4. PERALATAN AREA KERJA SISTEM KOMPUTER, ELEKTRONIKA, DAN MIKROPROSESOR",,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,MCU Training Set,"Untuk pelatihan/percobaan tentang microcomputer dasar. Dilengkapi workbench, power supply, signal generator.",4 Set,,,,,
2,Digital Trainer Board Microcontroller,"Untuk pembelajaran mikrokontroler (misal: Atmega), dilengkapi berbagai modul I/O.",4 Set,,,,,
3,Aplikasi Software Pengendali Mikrokontroler,Software untuk simulasi dan pemrograman mikrokontroler.,4 Paket,,,,,
4,RFID Training Kit,"Untuk praktik sistem RFID, dilengkapi base unit, board RFID, dan RFID tags.",4 Set,,,,,
5,Komputer Grafis,"Untuk pemrograman dan desain, spesifikasi tinggi.",4 Unit,,,,,
5. KELENGKAPAN KESELAMATAN DAN KESEHATAN KERJA (K3),,,,,,,,
No,Komponen,Standar Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Alat Pelindung Diri (APD),"Set terdiri dari: baju hazmat, face shield, kacamata safety, masker N95, sarung tangan, sepatu boot.",18 Set,,,,,
2,APAR (Alat Pemadam Api Ringan),"Tersedia, terisi, dan berkala uji. Jenis: Dry Chemical Powder.",4 Unit,,,,,
3,P3K Kit,Isi lengkap dan tidak kadaluarsa.,2 Unit,,,,,
4,Hydrant Box dan Alarm,"Berfungsi, mudah diakses.",1 Set,,,,,
5,Smoke Detector,"Terpasang di area rawan, berfungsi.",4 Unit,,,,,
6,Rambu K3 dan Jalur Evakuasi,Ada rambu yang jelas dan mudah dilihat menuju titik kumpul.,1 Set,,,,,
"6. KELENGKAPAN UTILITAS, BANGUNAN, DAN BUDAYA KERJA",,,,,,,,
No,Komponen,Standar Minimal,Sesuai Standar Minimal,Tidak Sesuai Standar Minimal,Keterangan,,,
A. UTILITAS,,,,,,,,
1,Jaringan Internet,Tersedia dan dapat diakses dengan bandwidth memadai.,,,,,,
2,Pencahayaan Alami dan Buatan,Minimal 250 lux di area praktik (mengacu SNI 03-6197-2000).,,,,,,
3,Ventilasi Udara,Sirkulasi udara baik (mengacu SNI 03-6572-2001).,,,,,,
4,Toilet Terpisah Pria/Wanita,Minimal 1 unit untuk pria dan 1 unit untuk wanita.,,,,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
5,Sumber Air Bersih,Tersedia dan mengalir lancar.,,,,,,
6,Instalasi Listrik yang Aman,"Sesuai PUIL 2011 (SNI 0225:2011), dilengkapi pengaman.",,,,,,
7,Stop Kontak 1 Phase,Tersedia di titik-titik strategis.,,,,,,
8,Sistem Penangkal Petir,"SNI 03-7015-2004, grounding ≤5 Ohm",,,,,,
9. PENERAPAN BUDAYA KERJA INDUSTRI,,,,,,,,
No,Komponen,"Ada, Efektif","Ada, Tidak Efektif",Tidak Ada,Keterangan,,,
1,"Penerapan 5R (Ringkas, Rapi, Resik, Rawat, Rajin)",,,,,,,
2,Poster/Infografis 5S/5R terpasang,,,,,,,
3,Penerapan Budaya Safety/K3 (C.A.N.T.I.K./T.A.M.P.A.N.),,,,,,,
4,Poster/Infografis K3 terpasang,,,,,,,
5,SOP Penggunaan Peralatan tersedia,,,,,,,
6,Jadwal Pemeliharaan Peralatan tersedia,,,,,,,
7,Buku Log Penggunaan Ruang Praktik,,,,,,,
8,Prosedur Masuk Ruang (Protokol Kesehatan) terpasang,,,,,,,
