BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Rekayasa Perangkat Lunak,,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Ruang Pengembangan Perangkat Lunak (Software),3 m²/peserta didik,18 siswa,,,,,
2,Area Kerja/Studio Web Desain,3 m²/peserta didik,9 siswa,,,,,
3,Ruang Perawatan dan Perbaikan,3 m²/peserta didik,9 siswa,,,,,
4,Ruang Instruktur dan Penyimpanan,3 m²/instruktur,9 instruktur,,,,,
2. PERABOT DAN PERALATAN SUB RUANG PRAKTIK PENGEMBANGAN PERANGKAT LUNAK,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Komputer Server,Menyediakan berbagai layanan yang dapat diakses oleh komputer klien,2 unit,,,,,
2,Komputer All in One,"Processor min 2.3 GHz, RAM min 8 GB, HDD min 1 TB, layar min 18.5"" resolusi 1366x768",18 unit,,,,,
3,Laptop,Untuk pengembangan mobile,18 unit,,,,,
4,Barcode Scanner,"Handheld, 1D/2D (QR Code), kecepatan 1.0 unit/second, interface USB 2.0",6 unit,,,,,
5,Smartphone,"Interface USB Type-C, GPS, GLONASS, WiFi, Bluetooth, NFC",18 unit,,,,,
6,RFID Training Kit,Untuk pembelajaran RFID,1 set,,,,,
7,UPS (Uninterruptible Power Supply),Minimal 1200 VA,18 unit,,,,,
8,Access Point,"Operating Mode: Access Point, WDS",1 unit,,,,,
9,Harddisk Eksternal,"Kapasitas 2 TB, Port USB 3.2 Gen 1",6 unit,,,,,
10,Proyektor,"Resolusi WUXGA, brightness min 3200 Lumen",1 unit,,,,,
11,Screen Proyektor,Ukuran 100 inch (1150 x 200 cm),1 unit,,,,,
12,Bracket Proyektor,"Max load 10 kg, height 75-105 cm",1 unit,,,,,
13,Kursi Kerja,"Ergonomis, W42 x D50 x H90 cm, dudukan busa injection",18 unit,,,,,
14,Meja Kerja,"900 x 450 mm, material MFC",19 unit,,,,,
15,Papan Tulis Dorong,"150 x 75 x 80 cm, dapat dipindah",1 unit,,,,,
16,Kursi Kerja untuk Siswa,"W42 x D50 x H90 cm, dudukan busa injection",18 unit,,,,,
17,Meja Persiapan,"1200 x 600 x 750 mm, particle board",2 unit,,,,,
3. PERABOT DAN PERALATAN SUB AREA KERJA/STUDIO WEB DESAIN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Komputer Server,Untuk menyediakan layanan web server,2 unit,,,,,
2,Komputer All in One,"Processor Intel Core i7, RAM 8 GB, HDD 1 TB",18 unit,,,,,
3,Laptop,Untuk desain mobile,18 unit,,,,,
4,Barcode Scanner,Untuk pembacaan barcode/QR,6 unit,,,,,
5,Smartphone,Untuk uji coba aplikasi mobile,18 unit,,,,,
6,Harddisk Eksternal,Kapasitas 2 TB,6 unit,,,,,
7,Proyektor,"Resolusi WUXGA, brightness 3200 Lumen",1 unit,,,,,
8,Screen Proyektor,Ukuran 100 inch,1 unit,,,,,
9,Bracket Proyektor,Max load 10 kg,1 unit,,,,,
10,Kursi Kerja,"Ergonomis, busa injection",18 unit,,,,,
11,Meja Kerja,"900 x 450 mm, MFC",19 unit,,,,,
12,Papan Tulis,150 x 75 x 80 cm,1 unit,,,,,
13,Kursi Kerja untuk Siswa,"Ergonomis, busa injection",18 unit,,,,,
14,Meja Persiapan,1200 x 600 x 750 mm,2 unit,,,,,
4. PERABOT DAN PERALATAN SUB RUANG PERAWATAN DAN PERBAIKAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Obeng Set,"Mata obeng berbagai ukuran, dilengkapi magnet",18 unit,,,,,
2,Tang Kombinasi,"Multi fungsi: pemotong kabel, pengupas kulit kabel, melilit kabel",18 unit,,,,,
3,LAN Tester,Untuk memeriksa konektivitas kabel LAN,9 unit,,,,,
4,Tang Crimping,Untuk pemasangan konektor RJ45 ke kabel UTP,9 unit,,,,,
5,Tisu/Kain Kering dan Cairan Pembersih,Untuk membersihkan layar monitor,18 unit,,,,,
6,Penyedot Debu Mini,Untuk membersihkan debu pada perangkat,3 unit,,,,,
5. PERABOT DAN PERALATAN RUANG INSTRUKTUR DAN PENYIMPANAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Kursi Kerja,"Ergonomis, nyaman",9 unit,,,,,
2,Meja Kerja,Ukuran memadai untuk bekerja,9 unit,,,,,
3,Lemari Simpan,"Untuk menyimpan peralatan, sistem knock down",2 unit,,,,,
4,Meja Alat,"Untuk perbaikan, sistem knock down",1 unit,,,,,
5,Thermometer Infrared,"Type: Infrared Thermometer, Accuracy +/-2%, Laser Class: Laser pointer, Temperature: +50 to 280°C",9 unit,,,,,
6. KELENGKAPAN SMART CLASSROOM,,,,,,,,
No,Nama Peralatan,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,,
1,Smart Board / Whiteboard Interaktif,1 unit,,,,,,
2,Smart TV Videoconference,1 unit,,,,,,
3,HD Pro Cam / Live Casting,1 unit,,,,,,
4,Smart Table Interaktif,1 unit,,,,,,
5,Smart Controlroom Console,1 unit,,,,,,
6,Smart Document Camera,1 unit,,,,,,
7,"Platform Pendukung (Student Response System, digital learning content, mobile learning)",1 paket,,,,,,
7. KELENGKAPAN KESELAMATAN DAN KESEHATAN KERJA (K3),,,,,,,,
No,Komponen,Standar Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,APAR (Alat Pemadam Api Ringan),"Tersedia, terisi, dan berkala uji",4 unit,,,,,
2,Hydrant Box dan Alarm,"Berfungsi, mudah diakses",1 set,,,,,
3,Smoke Detector,"Terpasang di area rawan, berfungsi",4 unit,,,,,
4,Sprinkler,Terpasang sesuai ketentuan,1 set,,,,,
5,P3K Kit,Isi lengkap dan tidak kadaluarsa,2 unit,,,,,
6,"APD (masker, sarung tangan, safety shoes)",Tersedia dan sesuai standar,18 set,,,,,
7,Jalur Evakuasi dan Titik Kumpul,Ada rambu yang jelas dan mudah dilihat,1 set,,,,,
8,Rambu K3 dan Poster Keselamatan,Terpasang di area strategis,10 buah,,,,,
9,Fasilitas Cuci Tangan (CTPS),Dengan air mengalir dan sabun,2 unit,,,,,
10,Prosedur Kesehatan (Covid-19),Poster protokol kesehatan terpasang,5 buah,,,,,
8. KELENGKAPAN UTILITAS DAN BANGUNAN,,,,,,,,
No,Komponen,Standar Minimal,Sesuai Standar Minimal,Tidak Sesuai Standar Minimal,Keterangan,Tidak Ada,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
1,Jaringan Internet,Tersedia dan dapat diakses,,,,,,
2,Pencahayaan Alami dan Buatan ,Minimal 250 lux (SNI 03-6197-2000),,,,,,
3,Ventilasi Udara ,Sirkulasi udara baik (SNI 03-6572-2001),,,,,,
4,Toilet Terpisah Pria/Wanita,Minimal 1 pria + 1 wanita,,,,,,
5,Sumber Air Bersih,Tersedia dan mengalir lancar,,,,,,
6,Instalasi Listrik yang Aman ,Sesuai PUIL 2011 (SNI 0225:2011),,,,,,
7,Stop Kontak 1 Phase,Jarak masing-masing 3 m,,,,,,
8,Sistem Penangkal Petir,"SNI 03-7015-2004, grounding ≤5 Ohm",,,,,,
9. PENERAPAN BUDAYA KERJA INDUSTRI,,,,,,,,
No,Komponen,"Ada, Efektif","Ada, Tidak Efektif",Tidak Ada,Keterangan,,,
1,"Penerapan 5R (Ringkas, Rapi, Resik, Rawat, Rajin)",,,,,,,
2,Poster/Infografis 5S/5R terpasang,,,,,,,
3,Penerapan Budaya Safety/K3 (C.A.N.T.I.K./T.A.M.P.A.N.),,,,,,,
4,Poster/Infografis K3 terpasang,,,,,,,
5,SOP Penggunaan Peralatan tersedia,,,,,,,
6,Jadwal Pemeliharaan Peralatan tersedia,,,,,,,
7,Buku Log Penggunaan Ruang Praktik,,,,,,,
8,Prosedur Masuk Ruang (Protokol Kesehatan) terpasang,,,,,,,
